"Viewed Products List Template","Visade produktlistmall"
"CSV","CSV"
"Orders","Beställningar"
"Products Ordered","Beställda produkter"
"Description","Beskrivning"
"Bestsellers","Bästsäljare"
"Items in Cart","Artiklar i varukorg"
"Product SKU","Artikelnummer för produkt"
"Applied Coupon","Använda kuponger"
"Number of Views","Antal visningar"
"Number Viewed","Antal visade"
"Number of wishlist referrals: %s","Antal värvningar till önskelistor: %s"
"Number of Unique Tags","Antal unika etiketter"
"Number Added","Antal tillagda"
"Number Of Reviews","Antal recensioner"
"Number of Reviews","Antal recensioner"
"Number of Products to display","Antal produkter att visa"
"Number of Items","Antal olika produkter"
"Number of New Accounts","Antal nya konton"
"Number of wishlist conversions: %s","Antal konverteringar av önskelistor: %s"
"Number Purchased","Antal köpta"
"Number of times wishlists have been shared (emailed): %s","Antal gånger som önskelistor har delats med andra (genom e-post): %s"
"Number of Times Deleted","Antal gånger borttaget"
"Number Fulfilled","Antal fullbordade"
"Number of Total Tags","Antal etiketter totalt"
"Quantity Ordered","Antal beställda"
"Quantity of Items","Antal av varje produkt"
"Number of items bought from a wishlist: %s","Antal artiklar köpta från en önskelista: %s"
"Number of wishlists: %s","Antal önskelistor: %s"
"Are you sure?","Är du säker?"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Är du säker på att du vill ladda om livstidsstatistiken? Viss prestanda kan påverkas under denna åtgärd."
"Action","Åtgärd"
"Total refunded","Återköp totalt"
"Refunds","Återköp"
"Year","År"
"Dashboard","Översikt"
"Abandoned Carts","Övergivna varukorgar"
"Abandoned carts","Övergivna varukorgar"
"Wishlists","Önskelistor"
"Wishlist vs. Regular Order","Önskelista vs. vanlig ordning"
