"Display Cart Summary","Visa sammanfattning av varukorg"
"Product Name","Produktnamn"
"Billing Information","Fakturaadress"
"Forgot an Item?","Glömt en produkt?"
"Checkout as a Guest or Register","Genomför köp som gäst eller registrera dig"
"Total for this address","Totalt för denna adress"
"Save Condition","Spara villkor"
"Manage Checkout Terms and Conditions","Hantera köpvillkor för kassan"
"Shopping Cart","Varukorg"
"Continue to Review Your Order","Fortsätt för att granska din beställning"
"Address %s of %s","Adress %s av %s"
"The product does not exist.","Produkten finns inte."
"Edit Address","Ändra adress"
"Register to Create an Account","Registrera dig för att skapa ett konto"
"Cannot open the overview page","Det går inte att öppna översiktsidan."
"Invalid method: %s","Ogiltlig metod: %s"
"Configurable Product Image","Bild för konfigurerbar produkt"
"* Required Fields","* Obligatoriska fält"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","En orderbekräftelse skickas så snart vi behandlat din order. När ordern levereras skickar vi även en leveransbekräftelse. I leveransbekräftelsen bifogas kolli-id och en länk så att du kan följa försändelsen."
"Select a billing address from your address book or enter a new address.","Välj fakturasadress från adressboken eller ange en ny adress."
"My Cart (%s items)","Min varukorg (%s artiklar)"
"Some products quantities were recalculated because of quantity increment mismatch","Vissa produkters kvantiteter har omräknats på grund av mängdens ökning"
"Create Shipping Address","Skapa en leveransadress"
"Place Order","Lägg beställning"
"Apply Coupon","Använd kupong"
"Enter your destination to get a shipping estimate.","Välj destination för att få en uppskattad fraktkostnad."
"Change Billing Address","Ändra fakturaadress"
"Payment Failed Template","Betalning misslyckades epostmall"
"Additional Product Info","Ytterligare produktinformation"
"Your order number is ","Ditt beställningsnr är"
"Ship to different address","Leverera till annan adress"
"One Page Checkout Success","Utcheckning lyckad "
"Submitting order information...","Skickar information om beställning..."
"Details","Detaljer"
"Price","Pris"
"Based on your selection, you may be interested in the following items:","Utifrån produkterna du redan tittat på, vill vi rekommendera dessa:"
"Fast and easy check out","Gå till snabbkassan"
"Checkout Terms and Conditions","Köpvillkor kassa"
"This condition no longer exists.","Detta villkor finns inte längre."
"Remove item","Ta bort artikel"
"Login","Logga in"
"Shipping To","Leverans till"
"Continue Shopping","Fortsätt handla"
"Payment Failed Email Sender","Betalning misslyckades epostsändare"
"Thank you for your purchase!","Tack för ditt köp!"
"Edit","Ändra"
"Quantity was recalculated from %d to %d","Kvantitet räknades om från %d till %d"
"Cannot add the item to shopping cart.","Det går inte att lägga till produkten i varukorgen."
"HTML","HTML"
"Click <a href=""%s"">here</a> to continue shopping.","Klicka <a href=""%s"">här</a> för att fortsätta handla."
"Update Total","Uppdatera total"
"Select State/Province...","Välj region..."
"My Cart","Varukorgen"
"Some of the requested products are not available in the desired quantity.","Några av de efterfrågade produkterna är inte tillgängliga i önskad mängd."
"Coupon code was canceled.","Kupongkoden avbröts."
"Payment method is not defined","Betalningssätt har inte angetts"
"An error occurred while deleting this condition.","Ett fel uppstod när villkoret togs bort."
"Email Address","E-postadress"
"Content Height (css)","Innehåll höjd (css)"
"Add to Compare","Lägg till jämförelse"
"Your order # is: %s.","Ditt ordernr är: %s."
"Ship to Multiple Addresses","Leverera till flera adresser"
"Order Review","Granska beställning"
"Street Address","Gatuadress"
"Default Shipping","Förvald frakt"
"Please select region, state or province","Vänligen välj region"
"Back to Shipping Information","Tillbaka till leveransinformation"
"Estimate Shipping and Tax","Beräkna frakt och moms"
"Checkout Options","Alternativ för kassa"
"There is <a href=""%s"">1 item</a> in your cart.","Det finns <a href=""%s"">1 vara</a> i din varukorg."
"Remove This Item","Ta bort denna produkt."
"Cart Subtotal:","Totalt:"
"Load customer quote error","Et fel uppstod när offert för kunden skulle laddas"
"%s was successfully added to your shopping cart.","%s placerades i din varukorg."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Det finns <a href=""%s""><strong>1 vara</strong></a> i din varukorg."
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Det finns <a href=""%s""><strong>%s varor</strong></a> i din varukorg."
"Checkout method","Välj köpmetod"
"Shopping bag", "Varukorg"
"%s items, %s", "%s varor, %s"
"Thank You", "Tack"
"We have received your order.", "Vi har tagit emot din beställning."
"Your order number is: <a href=""%s"">%s</a>", "Ditt ordernummer är: <a href=""%s"">%s</a>"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.", "Klika <a href=""%s"" onclick=""this.target='_blank'"">här för att skriva ut</a> en kopia av orderbekräftelsen."
"Login here", "Logga in här"
