"sku","couleur"
"BET0140005","Inox"
"BET0140006","Inox"
"BET0140007","Inox"
"BET0140008","Inox"
"BET0140009","Inox"
"BET0150001","Inox"
"BET0150002","Inox"
"BET0150003","Inox"
"BET0150005","Inox"
"BET0150006","Inox"
"BET0150007","Inox"
"BET0150008","Inox"
"BET0150009","Inox"
"BET0150004","Inox"
"BET0160001","Inox"
"BET0160002","Inox"
"BET0160003","Inox"
"BET0170001","Inox"
"BET0170002","Inox"
"BAM0010005","Inox"
"BAM0010006","Inox"
"BAM0010007","Inox"
"BAM0020005","Inox"
"BAM0020006","Inox"
"BAM0020007","Inox"
"BAM0030005","Inox"
"BAM0030006","Inox"
"BAM0030007","Inox"
"BAM0040011","Inox"
"BAM0040012","Inox"
"BAM0040013","Inox"
"BAM0040014","Inox"
"BAM0040015","Inox"
"BAM0040016","Inox"
"BAM0040017","Inox"
"BAM0040018","Inox"
"BAM0040019","Inox"
"BCO0050011","Inox"
"BCO0050012","Inox"
"BCO0050013","Inox"
"BCO0050014","Inox"
"BCO0050015","Inox"
"BCO0050016","Inox"
"BCO0050017","Inox"
"BCO0050018","Inox"
"BCO0050019","Inox"
"BCO0060011","Inox"
"BCO0060012","Inox"
"BCO0060013","Inox"
"BCO0060014","Inox"
"BCO0060015","Inox"
"BCO0060016","Inox"
"BCO0060017","Inox"
"BCO0060018","Inox"
"BCO0060019","Inox"
"BCO0070011","Inox"
"BCO0070012","Inox"
"BCO0070013","Inox"
"BCO0070014","Inox"
"BCO0070015","Inox"
"BCO0070016","Inox"
"BCO0070017","Inox"
"BCO0070018","Inox"
"BCO0070019","Inox"
"BCO0080011","Inox"
"BCO0080012","Inox"
"BCO0080013","Inox"
"BCO0080014","Inox"
"BCO0080015","Inox"
"BCO0080016","Inox"
"BCO0080017","Inox"
"BCO0080018","Inox"
"BCO0080019","Inox"
"BCO0090011","Inox"
"BCO0090012","Inox"
"BCO0090013","Inox"
"BCO0090014","Inox"
"BCO0090015","Inox"
"BCO0090016","Inox"
"BCO0090017","Inox"
"BCO0090018","Inox"
"BCO0090019","Inox"
"BOAL01391S","Inox"
"LLRABE0020","Transparent"
"LLRABE0026","Transparent"
"LLRGRA0052","Transparent"
"LLRBEU0054","Transparent"
"LLRARU0100","Incolore"
"BAR0110015","Inox"
"BAR0110016","Inox"
"CZITUB0022","Tubes incolores - Support noir"
"BDEASI0002","Noir"
"BDEASI0003","Blanc"
"BDEASI0004","Blanc"
"BDEASI0005","Blanc et Noir"
"BDEASI0007","Noir et Blanc"
"PACR4167","Inox"
"PACR4167B","Inox"
"CCO0100011","Inox"
"CCO0100012","Inox"
"CCO0100013","Inox"
"CCO0100014","Inox"
"CCO0100015","Inox"
"CCO0100016","Inox"
"CCO0100017","Inox"
"CCO0100018","Inox"
"CCO0100019","Inox"
"CCO0110008","Inox"
"CCO0110009","Inox"
"CCO0110010","Inox"
"CCO0110011","Inox"
"CCO0110012","Inox"
"CCO0120011","Inox"
"CCO0120012","Inox"
"CCO0120013","Inox"
"CCO0120014","Inox"
"CCO0120015","Inox"
"CCO0120016","Inox"
"CCO0120017","Inox"
"CCO0120018","Inox"
"CCO0120019","Inox"
"BGDSOL011","Inox"
"BGDSOL012","Inox"
"GDSOL013","Inox"
"BGDSOL014","Inox"
"BGDSOL015","Inox"
"BGDSOL16","Inox"
"BGDSOL017","Inox"
"BGDSOL018","Inox"
"BGDSOL019","Inox"
"LLRRIN0147","Incolore"
"BOAL01526","Inox"
"BOAL01525","Inox"
"BOAL01527","Inox"
"BOAL01528","Inox"
"BOAL01529","Inox"
"BOAL01530","Inox"
"BGDSER011","Inox"
"PSPR41635","Inox et noir"
"BGDCAS010","Inox"
"BGDCAS011","Inox"
"BGDCAS012","Inox"
"BGDCAS013","Inox"
"BGDCAS014","Inox"
"BGDCAS015","Inox"
"BGDCAS016","Inox"
"BGDCAS017","Inox"
"BGDSER012","Inox"
"BGDSER013","Inox"
"BGDNEW011","Inox"
"BGDNEW012","Inox"
"BGDNEW013","Inox"
"BGDNEW014","Inox"
"BGDNEW015","Inox"
"BGDNEW016","Inox"
"BGDNEW017","Inox"
"BGDNEW018","Inox"
"BGDTAH011","Inox"
"BGDTAH012","Inox"
"BGDTAH013","Inox"
"BGDTAH014","Inox"
"BGDTAH015","Inox"
"BGDTAH016","Inox"
"BDETAS0001","Brun et anis"
"BDETAS0002","Brun et anis"
"BRETAS001","Blanc"
"BRETAS002","Blanc"
"BRETAS003","Blanc"
"BRETAS004","Blanc"
"BFBTAS001","Blanc"
"BFBTAS002","Blanc"
"BFBTAS003","Blanc"
"BFBTAS004","Blanc"
"BGDCOL005","Vert anis"
"BGDCOL006","Vert anis"
"BGDCOL007","Vert anis"
"BGDCOL012","Ivoire"
"BGDCOL013","Ivoire"
"BGDCOL014","Ivoire"
"BGDCOL019","Pourpre"
"BGDCOL020","Pourpre"
"BGDCOL021","Pourpre"
"BGDCOL026","Chocolat"
"BGDCOL027","Chocolat"
"BGDCOL028","Chocolat"
"BGDCOL033","Flanelle"
"BGDCOL034","Flanelle"
"BGDCOL035","Flanelle"
"BGDCOL040","Wenge"
"BGDCOL041","Wenge"
"BGDCOL042","Wenge"
"BGDCOL047","Noir"
