"%s was successfully added to your shopping cart.","%s ble lagt til din handlekurv."
"Continue","Fortsett"
"Continue Shopping","Fortsett å handle"
"Shipping selection is not applicable","Fraktmetode er ikke tilgjengelig på denne ordren"
"Your Checkout Progress","Fremdrift"
"Enter your destination to get a shipping estimate.","Fyll inn bestemmelsessted for å få et fraktestimat."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Fyll inn et gyldig postnummer, fire siffer."
"Street Address","Gateadresse"
"Street Address ","Gateadresse "
"Continue to Billing Information","Gå til betalingsinformasjon"
"Proceed to Checkout","Gå til kassen"
"Checkout method","Gå til kassen"
"Checkout","Gå til kassen"
"Checkout as Guest","Gå til kassen som gjest"
"Checkout as a Guest or Register","Gå til kassen som gjest eller registrer deg"
"Continue to Shipping Information","Gå til leveringsinformasjon"
"Continue to Review Your Order","Gå til ordresammendrag"
"Edit Your Cart","Gjør endringer i handlekurven"
"Forgot your password?","Glemt ditt passord?"
"Forgot an Item?","Glemt en vare?"
"Register with us for future convenience:","Handle enklere og raskere ved å opprette en konto:"
"Shopping Cart","Handlekurv"
"My Cart","Handlekurv"
"My Cart (%s item)","Handlekurv (%s vare)"
"My Cart (%s items)","Handlekurv (%s varer)"
"Shopping Cart is Empty","Handlekurven er tom"
"Enter your coupon code if you have one.","Har du en rabattkode kan du skrive den inn her"
"Content Height","Høyde"
"Content Height (css)","Høyde (css)"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Inkl mva"
"Content","Innhold"
"Can not apply coupon code.","Kan ikke legge til rabattkode."
"Can't open overview page","Kan ikke vise oversiktside"
"Checkout Section","Kassen"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klikk <a href=""%s"" onclick=""this.target='_blank'"">her for å skrive ut</a> en kopi av din ordrebekreftelse."
"Card Verification Number Visual Reference","Kortverifiseringsnummer"
"Cannot remove item","Kunne ikke fjerne varen"
"Can not add item to shopping cart","Kunne ikke legge varen i handlekurven"
"Cannot update shopping cart","Kunne ikke oppdatere handlekurven"
"Save in address book","Lagre i adresseboken"
"Save Condition","Lagre vilkår"
"Country","Land"
"Loading next step...","Laster neste steg..."
"Add to Wishlist","Legg i ønskelisten"
"Add to Cart","Legg i handlekurven"
"Add New Address","Legg til ny adresse"
"Add to Compare","Legg til sammenligning"
"Shipping to","Levering til"
"Ship to different address","Levering til annen adresse"
"Ship to this address","Levering til denne adressen"
"Ship to Multiple Addresses","Levering til flere adresser"
"Checkout with Multiple Addresses","Levering til flere adresser"
"Shipping Address","Leveringsadresse"
"Shipping Information","Leveringsinformasjon"
"Shipping Method","Leveringsmetode"
"Shipping method has not been selected yet","Leveringsmetode er ikke valgt ennå"
"Shipping Methods","Leveringsmetoder"
"My Cart Link","Link til min handlekurv"
"Login","Logg inn"
"Please log in below:","Logg inn med ditt brukernavn og passord:"
"Close","Lukk"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimalt antall tillatt for levering til flere adresser er %s"
"My Account","Min konto"
"Condition Name","Navn for vilkår"
"Some of the products you requested are unavailable","Noen av produktene du har valgt er ikke tilgjengelige"
"Some of the products you requested are not available in the desired quantity","Noen av produktene du har valgt er ikke tilgjengelige i ønsket antall"
"New Address","Ny adresse"
"New Condition","Nytt vilkår"
"Update Shopping Cart","Oppdater"
"Update Qty &amp; Addresses","Oppdater antall og adresser"
"Update Total","Oppdater total"
"Register to Create an Account","Opprett en konto"
"Create Billing Address","Opprett fakturaadresse"
"Create Shipping Address","Opprett leveringsadresse"
"Add New Condition","Opprett ny"
"Order #","Ordre #"
"Review Order","Ordresammendrag"
"Order Review","Ordresammendrag"
"osCommerce Orders","osCommerce Ordrer"
"Password","Passord"
"Zip/Postal Code","Postnummer"
"Select State/Province...","Poststed"
"State/Province","Poststed"
"Price","Pris"
"Data saving problem","Problem med datalagring"
"Product","Produkt"
"Recently added item(s)","Produkt(er) nylig lagt til"
"Product does not exist","Produktet eksisterer ikke"
"Product Name","Produktnavn"
"Coupon code ""%s"" is not valid.","Rabattkode ""%s"" er ikke gyldig."
"Coupon code ""%s"" was applied successfully.","Rabattkode ""%s"" er nå registrert."
"Coupon code was canceled successfully.","Rabattkode fjernet."
"Discount Codes","Rabattkoder"
"Fast and easy check out","Rask og enkel betaling"
"Edit Address","Rediger adresse"
"Edit Billing Address","Rediger fakturaadresse"
"Edit Shipping Address","Rediger leveringsadresse"
"Edit Terms and Conditions","Rediger vilkår og betingelser"
"Register","Registrer handlekonto"
"Sales","Salg"
"Review Order - %s","Se igjennom bestilling - %s"
"Place Order","Send bestilling"
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Metode"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy Til"
"Send to","Send til"
"Submitting order information...","Sender bestilling..."
"separate by "",""","separer med "","""
"Shopping Cart Sidebar","Sidebar for handlekyrv"
"Enter a New Address","Skriv inn en ny adresse"
"Delete Condition","Slett vilkår"
"Grand Total:","Sluttsum:"
"Register and save time!","Spar tid ved å registrere en konto."
"Default Billing","Standard faktura"
"Default Shipping","Standard levering"
"Status","Status"
"Unit Price","Stykkpris"
"Cart Subtotal:","Subtotal:"
"Thank you for your purchase!","Takk for at du handlet hos oss!"
"Your order has been received","Takk! Din bestilling er mottatt."
"Text","Tekst"
"Telephone","Telefon"
"Back","Tilbake"
"Back to Shipping Information","Tilbake til leveringsinformasjon"
"Quote Lifetime (days)","Tilbudets varighet (dager)"
"Allow Guest Checkout","Tillat å gå til kassen som gjest"
"Total","Totalt"
"Total for this address","Totalt for denne adressen"
"Invalid email address ""%s""","Ugyldig epost-adresse ""%s"""
"Customer Address is not valid.","Ugyldig kundeadresse."
"Invalid shipping method.","Ugyldig leveringsmetode."
"Invalid data","Ugyldige data"
"Items","Varer"
"Select Address","Velg adresse"
"Select Addresses","Velg adressser"
"Select a billing address from your address book or enter a new address.","Velg fakturaadresse fra adresseboken eller skriv inn en ny adresse."
"Please select shipping address for applicable items","Velg frakt for aktuelle varer"
"Please select region, state or province","Velg fylke"
"Select a shipping address from your address book or enter a new address.","Velg leveringsadresse fra adresseboken eller skriv inn en ny adresse."
"Select Shipping Method","Velg leveringsmetode"
"Please select shipping methods for all addresses","Velg leveringsmetode for alle adressene"
"Please agree to all Terms and Conditions before placing the orders.","Vennligst bekreft vilkår og betingelsene før du fortsetter."
"Please agree to all Terms and Conditions before placing the order.","Vennligst bekreft vilkår og betingelsene før du fortsetter."
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Vi har mottatt din bestilling og du vil snart motta en e-post med detaljer rundt din ordre. Når pakken er sendt vil du motta en ny e-post med en lenke for å følge fremdriften."
"After adding a product redirect to shopping cart","Videresend kunde til handlekurv etter å ha lagt til et produkt"
"Checkout Conditions","Vilkår"
"Condition was successfully deleted","Vilkår ble fjernet"
"Condition was successfully saved","Vilkår ble lagret"
"Checkout Terms and Conditions","Vilkår og betingelser"
"Terms and Conditions","Vilkår og betingelser"
"Terms and Conditions Information","Vilkår og betingelser"
"Terms and conditions","Vilkår og betingelser"
"Display number of items in cart","Vis antall varer i handlekurv"
"Show Content as","Vis innhold som"
"Maximum display Recently added item(s)","Vis maksimalt antall nylig lagt til"
"Display Cart Summary","Vis sammendrag av handlekurv"
"Display Shopping Cart Sidebar","Vis sidebar for handlekurv"
"Display item quantities","Vis vareantall"
